"","V1","V2","V3","V4","V5"
"1","possible","ntc","netanyahu","clip","troop"
"2","bibi","redact","invest","strateg","requir"
"3","wout","cas","brown","dialogu","base"
"4","oped","foia","thanksgiv","press","oper"
"5","schedul","transit","isra","shes","target"
"6","denni","sensit","war","safe","unit"
"7","imuscatine","select","campaign","doc","asia"
"8","sullivan","comm","forgot","coverag","near"
"9","read","produc","troubl","cooper","afghanistan"
"10","affair","waiver","took","africa","afghan"
